make,model,avg_price
Mercedes-Benz,SL-Class,140150.0
Mercedes-Benz,SLC-Class,54125.0
Mercedes-Benz,SLK-Class,57769.444444444445
Mercedes-Benz,SLR McLaren,490000.0
Mercedes-Benz,SLS AMG GT Final Edition,224830.0
Mercedes-Benz,SLS AMG GT,218000.0
Mercedes-Benz,SLS AMG,189566.66666666666
Acura,SLX,2658.75
Pontiac,Solstice,27140.0
Hyundai,Sonata Hybrid,28487.5
Hyundai,Sonata,25707.63888888889
Chevrolet,Sonic,18167.5
GMC,Sonoma,18098.11111111111
Kia,Sorento,33765.26315789474
Kia,Soul EV,34250.0
Kia,Soul,18046.666666666668
Chevrolet,Spark EV,25842.5
Chevrolet,Spark,14940.0
Kia,Spectra,15726.739130434782
Dodge,Spirit,2000.0
Kia,Sportage,26725.555555555555
Chevrolet,Sportvan,2000.0
Maserati,Spyder,88165.83333333333
Audi,SQ5,56850.0
Dodge,SRT Viper,102515.0
Cadillac,SRX,45903.80952380953
Chevrolet,SS,45265.0
